Id;Amount;Vol_total;Btw_pour;Pour_time;Time;Dev_id;Brand_id;CustomerId;LocationId;CreationDate;CL;ConvertedAmount;ConvertedCL;SelectedCL;TimeUTC;Flow_0;FlowRate;Mode;TapId;StopCondition;Temp_after;Temp_before
3302364;11;2695;37712;23825;2019-04-17 12:19:17.000;844e-0000-0f01-071a;1;78;96;17.04.2019 09:19;0;11;0;0;2019-04-17 09:19:17.000;0;0;10;302;0;2,200000048;20,10000038
3302370;11;2736;278;25825;2019-04-17 12:24:22.000;844e-0000-0f01-071a;1;78;96;17.04.2019 09:24;0;11;0;0;2019-04-17 09:24:22.000;0;0;10;302;0;1,200000048;10,89999962
3302387;11;7515;666;8814;2019-04-17 12:36:43.000;844e-0000-0f01-071a;1;78;96;17.04.2019 09:36;0;11;0;0;2019-04-17 09:36:43.000;0;0;10;302;0;0,899999976;12,60000038
3302392;4;73;107;1125;2019-04-17 12:38:32.000;844e-0000-0f01-071a;1;78;96;17.04.2019 09:38;0;4;0;0;2019-04-17 09:38:32.000;0;0;10;302;0;3,900000095;4,199999809
3302394;0;1163;2;10200;2019-04-17 12:38:46.000;844e-0000-0f01-071a;1;78;96;17.04.2019 09:38;0;0;0;50;2019-04-17 09:38:46.000;1,912281;1,931545;0;302;0;1,5;3,799999952
3302395;0;1010;15;8850;2019-04-17 12:39:11.000;844e-0000-0f01-071a;1;78;96;17.04.2019 09:39;0;0;0;30;2019-04-17 09:39:11.000;1,754386;1,922886;0;302;0;1,200000048;3,200000048
3302396;0;1262;17;11050;2019-04-17 12:39:40.000;844e-0000-0f01-071a;1;78;96;17.04.2019 09:39;0;0;0;50;2019-04-17 09:39:40.000;1,824561;1,940144;0;302;0;0,899999976;2,799999952
3302452;2;2851;2544;24750;2019-04-17 13:22:32.000;844e-0000-0f01-071a;1;78;96;17.04.2019 10:24;50;2;50;50;2019-04-17 10:22:32.000;2,362003;1,992557;0;302;0;3;18
3302453;2;1466;30;13000;2019-04-17 13:23:16.000;844e-0000-0f01-071a;1;78;96;17.04.2019 10:24;50;2;50;50;2019-04-17 10:23:16.000;1,964912;1,924426;0;302;1;1,100000024;7,599999905
3302454;2;307;1;23000;2019-04-17 13:23:41.000;844e-0000-0f01-071a;1;78;96;17.04.2019 10:24;50;2;50;50;2019-04-17 10:23:41.000;0,157895;0,203661;0;302;1;0,800000012;1,600000024
3302455;1;94;2;15000;2019-04-17 13:23:58.000;844e-0000-0f01-071a;1;78;96;17.04.2019 10:24;30;1;30;30;2019-04-17 10:23:58.000;0,280702;0,063158;0;302;1;0,800000012;1
3302459;0;201;46;12350;2019-04-17 13:24:57.000;844e-0000-0f01-071a;1;78;96;17.04.2019 10:25;0;0;0;50;2019-04-17 10:24:57.000;0,22807;0,228709;0;302;1;0,600000024;3,299999952
3302460;0;407;104;2900;2019-04-17 13:26:45.000;844e-0000-0f01-071a;1;78;96;17.04.2019 10:26;0;0;0;50;2019-04-17 10:26:45.000;1,087719;2,220206;0;302;1;3,5;4,400000095
3302716;2;2852;6510;28475;2019-04-17 15:22:57.000;844e-0000-0f01-071a;1;78;96;17.04.2019 12:23;50;2;50;50;2019-04-17 12:22:57.000;2,842105;1,732514;0;302;0;2,400000095;19,29999924
3302717;2;2852;13;24975;2019-04-17 15:23:36.000;844e-0000-0f01-071a;1;78;96;17.04.2019 12:23;50;2;50;50;2019-04-17 12:23:36.000;1,526316;1,975309;0;302;0;1,299999952;6,800000191
3303054;0;803;3712;6625;2019-04-17 16:25:36.000;844e-0000-0f01-071a;1;78;96;17.04.2019 13:26;0;0;0;50;2019-04-17 13:25:36.000;2,721438;2,020523;0;302;0;6,599999905;19,70000076
3303055;2;2850;21;25025;2019-04-17 16:26:24.000;844e-0000-0f01-071a;1;78;96;17.04.2019 13:26;50;2;50;50;2019-04-17 13:26:24.000;2,087719;1,96996;0;302;0;2;13,89999962
3303076;2;2852;153;24900;2019-04-17 16:29:23.000;844e-0000-0f01-071a;1;78;96;17.04.2019 13:29;50;2;50;50;2019-04-17 13:29:23.000;2,140351;1,981258;0;302;0;1,100000024;7,900000095
3303077;4;68;3;1125;2019-04-17 16:29:27.000;844e-0000-0f01-071a;1;78;96;17.04.2019 13:29;0;4;0;0;2019-04-17 13:29:27.000;0;0;10;302;0;1,5;1,799999952
3303079;4;69;2;1125;2019-04-17 16:29:30.000;844e-0000-0f01-071a;1;78;96;17.04.2019 13:29;0;4;0;0;2019-04-17 13:29:30.000;0;0;10;302;0;1,600000024;1,899999976
3303148;2;2850;340;13850;2019-04-17 16:35:25.000;844e-0000-0f01-071a;1;78;96;17.04.2019 13:35;50;2;50;50;2019-04-17 13:35:25.000;2,192982;3,55944;1;302;0;0,899999976;9,199999809
